Original password: v, mode: 1, password length: 1, processing time (ms): 10977, password strength: , type of RAR: 3
Original password: m, mode: 2, password length: 1, processing time (ms): 10798, password strength: , type of RAR: 3
Original password: a, mode: 3, password length: 1, processing time (ms): 10983, password strength: , type of RAR: 3
Original password: x, mode: 4, password length: 1, processing time (ms): 12864, password strength: , type of RAR: 3
Original password: !, mode: 5, password length: 1, processing time (ms): 13845, password strength: , type of RAR: 3
Original password: ol, mode: 1, password length: 2, processing time (ms): 18341, password strength: , type of RAR: 3
Original password: vb, mode: 2, password length: 2, processing time (ms): 22343, password strength: , type of RAR: 3
Original password: rN, mode: 3, password length: 2, processing time (ms): 23977, password strength: , type of RAR: 3
Original password: hl, mode: 4, password length: 2, processing time (ms): 16984, password strength: , type of RAR: 3
Original password: );, mode: 5, password length: 2, processing time (ms): 33518, password strength: , type of RAR: 3
Original password: twi, mode: 1, password length: 3, processing time (ms): 69859, password strength: , type of RAR: 3
Original password: ihc, mode: 2, password length: 3, processing time (ms): 108646, password strength: , type of RAR: 3
Original password: hNQ, mode: 3, password length: 3, processing time (ms): 2143383, password strength: , type of RAR: 3
Original password: LR2, mode: 4, password length: 3, processing time (ms): 795615, password strength: , type of RAR: 3
Original password: !J), mode: 5, password length: 3, processing time (ms): 1497155, password strength: , type of RAR: 3
Original password: onae, mode: 1, password length: 4, processing time (ms): 2741902, password strength: , type of RAR: 3
Original password: aqfu, mode: 2, password length: 4, processing time (ms): 4293459, password strength: , type of RAR: 3
Original password: CULv, mode: 3, password length: 4, processing time (ms): -1, password strength: , type of RAR: 3
Original password: 4irn, mode: 4, password length: 4, processing time (ms): 2609356, password strength: , type of RAR: 3
Original password: qT=b, mode: 5, password length: 4, processing time (ms): -1, password strength: , type of RAR: 3
