Original password: d, mode: 1, password length: 1, processing time (ms): 2021, password strength: , type of RAR: 5
Original password: i, mode: 2, password length: 1, processing time (ms): 1465, password strength: , type of RAR: 5
Original password: d, mode: 3, password length: 1, processing time (ms): 2246, password strength: , type of RAR: 5
Original password: Y, mode: 4, password length: 1, processing time (ms): 2042, password strength: , type of RAR: 5
Original password: 0, mode: 5, password length: 1, processing time (ms): 1742, password strength: , type of RAR: 5
Original password: cv, mode: 1, password length: 2, processing time (ms): 2962, password strength: , type of RAR: 5
Original password: qm, mode: 2, password length: 2, processing time (ms): 5194, password strength: , type of RAR: 5
Original password: ke, mode: 3, password length: 2, processing time (ms): 1869, password strength: , type of RAR: 5
Original password: 1K, mode: 4, password length: 2, processing time (ms): 4543, password strength: , type of RAR: 5
Original password: 40, mode: 5, password length: 2, processing time (ms): 3745, password strength: , type of RAR: 5
Original password: ica, mode: 1, password length: 3, processing time (ms): 10876, password strength: , type of RAR: 5
Original password: ygb, mode: 2, password length: 3, processing time (ms): 95488, password strength: , type of RAR: 5
Original password: KSt, mode: 3, password length: 3, processing time (ms): 187570, password strength: , type of RAR: 5
Original password: pmT, mode: 4, password length: 3, processing time (ms): 336244, password strength: , type of RAR: 5
Original password: Dx(, mode: 5, password length: 3, processing time (ms): 1759743, password strength: , type of RAR: 5
Original password: rjkw, mode: 1, password length: 4, processing time (ms): 1718588, password strength: , type of RAR: 5
Original password: ipyr, mode: 2, password length: 4, processing time (ms): 2409036, password strength: , type of RAR: 5
Original password: Lutk, mode: 3, password length: 4, processing time (ms): 2175000, password strength: , type of RAR: 5
Original password: 76O4, mode: 4, password length: 4, processing time (ms): 5043256, password strength: , type of RAR: 5
Original password: F'g2, mode: 5, password length: 4, processing time (ms): -1, password strength: , type of RAR: 5
